year,date,carrier,origin_city,destination,dep_delay,arr_delay,cancelled,diverted,air_time,distance
2017,2017/1/24,AA,New York,Chicago,-7,16,NO,NO,123,733
2017,2017/1/18,AA,Chicago,New York,-1,4,NO,NO,104,733
2017,2017/1/17,AA,New York,Chicago,-8,8,NO,NO,117,733
2017,2017/1/10,AA,New York,Chicago,66,45,NO,NO,125,733
2017,2017/1/4,AA,New York,Chicago,0,15,NO,NO,121,733
2017,2017/1/2,AA,Chicago,New York,0,7,NO,NO,95,733
2017,2017/1/28,AA,Chicago,New York,17,4,NO,NO,95,733
2017,2017/1/30,AA,New York,Chicago,-5,16,NO,NO,114,733
2017,2017/1/27,AA,New York,Chicago,4,15,NO,NO,110,733
2017,2017/1/22,AA,New York,Chicago,-6,20,NO,NO,118,733
2017,2017/1/16,AA,Chicago,New York,-4,5,NO,NO,93,733
2017,2017/1/11,AA,Chicago,New York,0,9,NO,NO,97,733
2017,2017/1/9,AA,Chicago,New York,-1,4,NO,NO,103,733
2017,2017/1/14,AA,Chicago,New York,-7,7,NO,NO,90,733
2017,2017/1/17,AA,New York,Chicago,-10,7,NO,NO,112,733
2017,2017/1/15,AA,Chicago,New York,2,9,NO,NO,91,733
2017,2017/1/5,AA,Chicago,New York,-7,4,NO,NO,92,733
2017,2017/1/31,AA,Chicago,New York,-4,16,NO,NO,98,733
2017,2017/1/17,AA,Chicago,New York,5,5,NO,NO,98,733
2017,2017/1/18,AA,Chicago,New York,-4,4,NO,NO,115,733
2017,2017/1/19,AA,New York,Washington,-5,26,NO,NO,37,214
2017,2017/1/1,AA,Boston,New York,-4,7,NO,NO,44,184
2017,2017/1/12,AA,New York,Boston,52,5,NO,NO,39,184
2017,2017/1/26,AA,New York,Boston,23,7,NO,NO,40,184
2017,2017/1/17,AA,Washington,New York,-8,9,NO,NO,46,214
2017,2017/1/26,AA,New York,Washington,-8,4,NO,NO,64,214
2017,2017/1/17,AA,New York,Boston,-8,9,NO,NO,36,184
2017,2017/1/26,AA,Boston,New York,-5,8,NO,NO,58,184
2017,2017/1/17,AA,Washington,New York,31,5,NO,NO,47,214
2017,2017/1/23,AA,Washington,New York,67,9,NO,NO,48,214
2017,2017/1/30,AA,Boston,New York,44,4,NO,NO,50,184
2017,2017/1/13,AA,Boston,New York,0,13,NO,NO,47,184
2017,2017/1/27,AA,New York,Boston,-7,5,NO,NO,38,184
2017,2017/1/13,AA,Washington,New York,-1,16,NO,NO,40,214
2017,2017/1/26,AA,New York,Washington,49,19,NO,NO,47,214
2017,2017/1/12,AA,New York,Boston,-5,6,NO,NO,36,184
2017,2017/1/20,AA,Boston,New York,-9,9,NO,NO,43,184
2017,2017/1/9,AA,Washington,New York,-3,6,NO,NO,42,214
2017,2017/1/18,AA,New York,Washington,9,4,NO,NO,40,214
2017,2017/1/21,AA,New York,Boston,-9,5,NO,NO,40,184
2017,2017/1/18,AA,New York,Boston,-6,8,NO,NO,37,184
2017,2017/1/20,AA,Boston,New York,-7,6,NO,NO,45,184
2017,2017/1/9,AA,New York,Boston,-7,4,NO,NO,43,184
2017,2017/1/6,AA,New York,Washington,8,7,NO,NO,66,213
2017,2017/1/31,AA,New York,Washington,-5,9,NO,NO,71,213
